cod_ibge,municipio,regional_saude,desfecho,desfecho_label,lag,rr,rr_ic95_inf,rr_ic95_sup,metodo,status_modelagem,detalhe
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,0,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,1,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,2,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,3,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,4,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,5,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,6,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_cardio,Internações cardiovasculares,7,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_resp,Internações respiratórias,0,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
5100102,Acorizal,ERS Cuiabá,internacoes_resp,Internações respiratórias,1,,,,DLNM_NB_requer_serie_diaria,insuficiente_dados_diarios,"Não foi encontrada tabela diária com exposição isHW e desfechos cardiorrespiratórios. Para RR GeoCalor/DLNM, criar geocalor_model_input_diario com cod_ibge, data, isHW, internacoes_cardio, internacoes_resp, obitos_cardio e obitos_resp."
